Banoffee Pie;395
Pearl Barley;352
Bran Muffins;270
Coffee;1
Mozzarella Pizza;249
Rack of Pork;241
Rosemary;131
Burger King Premium Alaskan Fish Sandwich;259
Brownies;405
White Wine;82
Turkey Breast;104
Oatmeal Raisin Cookies;435
Beef Fillet;189
Cherries;50
Seafood Pizza;245
Cornbread;179
Salad Dressing;449
Cream of Broccoli Soup;45
Pumpkin Bread;298
Lacy Swiss Cheese;321
Canned Tangerines;61
Oatmeal Cookies;450
Arugula;25
Activia;74
Caesar Dressing;429
Pepperoni Pizza;255
Noodle Soup;34
Dumplings;124
Toblerone;525
Mutton Meat;234
Tangerine;53
Camembert;300
Coffee Ice Cream;236
O’Doul’s (N.A.);19
Olde English;45
Chocolate;529
Soufflé;204
Boiled Potatoes;87
Coco Pops;376
Wheaties;367
Cracklin Oat Bran;402
Grapefruit Juice;46
Canadian-Style Bacon;107
Bockwurst;301
Mackerel;262
Bagel;257
Calf Liver;192
Canned Sour Cherries;114
Hamburger;254
Rigatoni;353
